,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл"
"Tрег, ᵒС",1.0000,0.1337,0.1294,-0.1294,0.1337,0.1294,0.1238,0.0528,-0.0180,-0.0371,0.5995,0.2826,0.3093,0.0521,-0.0006,0.2900,0.1732,-0.0067
"W0, см3/г",0.1337,1.0000,-0.3031,0.3032,1.0000,-0.3033,0.9805,0.8125,0.3749,0.4149,0.3186,0.2423,0.2717,-0.0215,-0.0590,0.0235,0.0427,-0.0691
"E0, кДж/моль",0.1294,-0.3031,1.0000,-1.0000,-0.3031,1.0000,-0.3361,-0.5325,-0.5005,-0.6159,0.8654,0.4321,0.2530,0.5082,0.5109,-0.5053,-0.3766,0.4298
"х0, нм",-0.1294,0.3032,-1.0000,1.0000,0.3032,-1.0000,0.3362,0.5326,0.5005,0.6159,0.8677,0.4168,0.2709,-0.5081,-0.5109,0.5052,0.3766,-0.4297
"а0, ммоль/г",0.1337,1.0000,-0.3031,0.3032,1.0000,-0.3033,0.9805,0.8125,0.3749,0.4149,0.3186,0.2423,0.2717,-0.0215,-0.0590,0.0235,0.0427,-0.0691
"E, кДж/моль",0.1294,-0.3033,1.0000,-1.0000,-0.3033,1.0000,-0.3363,-0.5328,-0.5006,-0.6160,0.8652,0.4318,0.2530,0.5082,0.5108,-0.5052,-0.3766,0.4297
"SБЭТ, м2/г",0.1238,0.9805,-0.3361,0.3362,0.9805,-0.3363,1.0000,0.8441,0.4202,0.4831,0.3668,0.2655,0.2784,-0.0489,-0.0896,0.0442,0.0526,-0.1279
"Ws, см3/г",0.0528,0.8125,-0.5325,0.5326,0.8125,-0.5328,0.8441,1.0000,0.6687,0.8240,0.5999,0.3211,0.2799,-0.2433,-0.2301,0.2472,0.2645,-0.2516
"Sme, м2/г",-0.0180,0.3749,-0.5005,0.5005,0.3749,-0.5006,0.4202,0.6687,1.0000,0.7789,0.6419,0.1281,0.1456,-0.1778,-0.2553,0.2576,0.2892,-0.1543
"Wme, см3/г",-0.0371,0.4149,-0.6159,0.6159,0.4149,-0.6160,0.4831,0.8240,0.7789,1.0000,0.6317,0.3032,0.2149,-0.3887,-0.3375,0.3766,0.4085,-0.3815
Металл,0.5995,0.3186,0.8654,0.8677,0.3186,0.8652,0.3668,0.5999,0.6419,0.6317,1.0000,0.6157,0.2849,0.6321,0.6224,0.6880,0.3261,0.4560
Лиганд,0.2826,0.2423,0.4321,0.4168,0.2423,0.4318,0.2655,0.3211,0.1281,0.3032,0.6157,1.0000,0.1159,0.3881,0.3318,0.2852,0.2682,0.1726
Растворитель,0.3093,0.2717,0.2530,0.2709,0.2717,0.2530,0.2784,0.2799,0.1456,0.2149,0.2849,0.1159,1.0000,0.1243,0.1131,0.3522,0.2191,0.1191
"m (соли), г",0.0521,-0.0215,0.5082,-0.5081,-0.0215,0.5082,-0.0489,-0.2433,-0.1778,-0.3887,0.6321,0.3881,0.1243,1.0000,0.8159,-0.4692,-0.3268,0.5784
"m(кис-ты), г",-0.0006,-0.0590,0.5109,-0.5109,-0.0590,0.5108,-0.0896,-0.2301,-0.2553,-0.3375,0.6224,0.3318,0.1131,0.8159,1.0000,-0.4311,-0.2572,0.4925
"Т.син., °С",0.2900,0.0235,-0.5053,0.5052,0.0235,-0.5052,0.0442,0.2472,0.2576,0.3766,0.6880,0.2852,0.3522,-0.4692,-0.4311,1.0000,0.5663,-0.4272
"Т суш., °С",0.1732,0.0427,-0.3766,0.3766,0.0427,-0.3766,0.0526,0.2645,0.2892,0.4085,0.3261,0.2682,0.2191,-0.3268,-0.2572,0.5663,1.0000,-0.2431
"Vсин. (р-ля), мл",-0.0067,-0.0691,0.4298,-0.4297,-0.0691,0.4297,-0.1279,-0.2516,-0.1543,-0.3815,0.4560,0.1726,0.1191,0.5784,0.4925,-0.4272,-0.2431,1.0000
